id,code,name,reconcile,user_type_id/id,chart_template_id/id,currency_id/id
account_1112204,1112204,中行-美金#3306,FALSE,account.data_account_type_liquidity,l10n_chart_ovis,base.USD
account_11122132,11122132,工行-人民幣#2028,FALSE,account.data_account_type_liquidity,l10n_chart_ovis,base.CNY
account_1112214,1112214,工行-TZU#5320,FALSE,account.data_account_type_liquidity,l10n_chart_ovis,base.CNY
account_1112224,1112224,招行-JEN#3733,FALSE,account.data_account_type_liquidity,l10n_chart_ovis,base.CNY
account_111301,111301,定期存款-彰銀,FALSE,account.data_account_type_liquidity,l10n_chart_ovis,base.TWD
account_111305,111305,定期存款-兆豐,FALSE,account.data_account_type_liquidity,l10n_chart_ovis,base.TWD
account_1114,1114,在途款,FALSE,account.data_account_type_liquidity,l10n_chart_ovis,
account_1115,1115,短期投資,FALSE,account.data_account_type_current_assets,l10n_chart_ovis,
account_1121,1121,應收票據,TRUE,account.data_account_type_receivable,l10n_chart_ovis,
account_1123,1123,應收帳款,TRUE,account.data_account_type_receivable,l10n_chart_ovis,
account_1124,1124,備抵呆帳-應收帳款,TRUE,account.data_account_type_receivable,l10n_chart_ovis,
account_1125,1125,應收帳款-模具,TRUE,account.data_account_type_receivable,l10n_chart_ovis,
account_1200,1200,其他應收款,TRUE,account.data_account_type_receivable,l10n_chart_ovis,
account_1201,1201,應收利息,TRUE,account.data_account_type_current_assets,l10n_chart_ovis,
account_1203,1203,應收退稅款,TRUE,account.data_account_type_current_assets,l10n_chart_ovis,
account_1301,1301,存貨,FALSE,account.data_account_type_current_assets,l10n_chart_ovis,
account_1302,1302,未開票存貨 (進貨),FALSE,account.data_account_type_current_assets,l10n_chart_ovis,
account_1303,1303,未開票存貨 (出貨),FALSE,account.data_account_type_current_assets,l10n_chart_ovis,
account_1401,1401,預付貨款,FALSE,account.data_account_type_current_assets,l10n_chart_ovis,
account_1403,1403,預付稅款,FALSE,account.data_account_type_current_assets,l10n_chart_ovis,
account_1404,1404,預付費用,FALSE,account.data_account_type_current_assets,l10n_chart_ovis,
account_1406,1406,預付保險費,FALSE,account.data_account_type_current_assets,l10n_chart_ovis,
account_1471,1471,暫付款,FALSE,account.data_account_type_current_assets,l10n_chart_ovis,
account_1472,1472,暫借款,FALSE,account.data_account_type_current_assets,l10n_chart_ovis,
account_1477,1477,員工借支,FALSE,account.data_account_type_current_assets,l10n_chart_ovis,
account_1478,1478,代付款,FALSE,account.data_account_type_current_assets,l10n_chart_ovis,
account_1480,1480,進項稅額,FALSE,account.data_account_type_current_assets,l10n_chart_ovis,
account_1481,1481,留抵稅額,FALSE,account.data_account_type_current_assets,l10n_chart_ovis,
account_150001,150001,暫借款-磐古,FALSE,data_account_type_other_current_assets,l10n_chart_ovis,
account_150002,150002,存出保證金,FALSE,data_account_type_other_current_assets,l10n_chart_ovis,
account_160101,160101,土地成本,FALSE,account.data_account_type_fixed_assets,l10n_chart_ovis,
account_160501,160501,房屋及建築物,FALSE,account.data_account_type_fixed_assets,l10n_chart_ovis,
account_160508,160508,累計折舊-房屋及建築物,FALSE,account.data_account_type_fixed_assets,l10n_chart_ovis,
account_161001,161001,房屋改良物,FALSE,account.data_account_type_fixed_assets,l10n_chart_ovis,
account_161008,161008,累計折舊-房屋改良物,FALSE,account.data_account_type_fixed_assets,l10n_chart_ovis,
